SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-14-2019,Single Family Residential,5397 Chesbro Ave,SAN JOSE,CA,95123,1211111,4,3,SAN JOSE,2159,2641,2012,117,561,135,Sold,,,http://www.redfin.com/CA/San-Jose/5397-Chesbro-Ave-95123/home/52672585,MLSListings,ML81746476,N,Y,37.2534701,-121.8453231
PAST SALE,December-14-2018,Townhouse,1226 Nestwood Way,MILPITAS,CA,95035,890000,2,2.5,MILPITAS,1258,593,2013,268,707,227,Sold,,,http://www.redfin.com/CA/Milpitas/1226-Nestwood-Way-95035/home/52663889,MLSListings,ML81727950,N,Y,37.4159972,-121.9251034
PAST SALE,July-6-2015,Townhouse,527 Boynton Ave,SAN JOSE,CA,95117,728000,3,2.5,SAN JOSE,1413,2170,2002,1525,515,180,Sold,,,http://www.redfin.com/CA/San-Jose/527-Boynton-Ave-95117/home/1038663,MLSListings,ML81469443,N,Y,37.3171578,-121.9663962
PAST SALE,June-16-2015,Condo/Co-op,2664 Senter Rd #221,SAN JOSE,CA,95111,365000,2,2,SAN JOSE,1026,1026,1989,1545,356,325,Sold,,,http://www.redfin.com/CA/San-Jose/2664-Senter-Rd-95111/unit-221/home/1850558,MLSListings,ML81464979,N,Y,37.3019045,-121.8409692
PAST SALE,September-25-2013,Single Family Residential,2627 META Dr,San Jose,CA,95130,940000,5,2,San Jose,2313,6363,1961,2174,406,,Sold,,,http://www.redfin.com/CA/San-Jose/2627-Meta-Dr-95130/home/815179,MLSListings,ML81328120,N,Y,37.2746497,-121.9836344
PAST SALE,June-11-2019,Single Family Residential,300 Heritage View Ter,SAN JOSE,CA,95125,912500,3,2.5,SAN JOSE,1776,1759,2004,89,514,176,Sold,,,http://www.redfin.com/CA/San-Jose/300-Heritage-View-Ter-95125/home/1225044,MLSListings,ML81748602,N,Y,37.2955111,-121.8658354
PAST SALE,July-28-2017,Single Family Residential,2557 Forest Ave,SAN JOSE,CA,95117,1050000,3,1.5,SAN JOSE,1280,5200,1952,772,820,,Sold,,,http://www.redfin.com/CA/San-Jose/2557-Forest-Ave-95117/home/1450210,MLSListings,ML81667544,N,Y,37.3275864,-121.9520882
PAST SALE,December-31-2018,Condo/Co-op,380 Auburn Way #10,SAN JOSE,CA,95129,665000,2,1,SAN JOSE,924,924,1970,251,720,425,Sold,,,http://www.redfin.com/CA/San-Jose/380-Auburn-Way-95129/unit-10/home/1182282,MLSListings,ML81732640,N,Y,37.3196497,-121.9814071
PAST SALE,June-17-2019,Single Family Residential,1138 Cook St,SAN JOSE,CA,95126,970000,2,1,SAN JOSE,776,3417,1924,83,1250,,Sold,,,http://www.redfin.com/CA/San-Jose/1138-Cook-St-95126/home/1294953,MLSListings,ML81751104,N,Y,37.3461437,-121.926978
PAST SALE,May-13-2019,Single Family Residential,3351 Pepper Tree Ln,SAN JOSE,CA,95127,865000,3,2,SAN JOSE,1075,5048,1954,118,805,,Sold,,,http://www.redfin.com/CA/San-Jose/3351-Pepper-Tree-Ln-95127/home/1388569,MLSListings,ML81748500,N,Y,37.3868174,-121.8358668
